date,review,cleaned_review
il y a 3 semaines,Par livraison de ce jour Deliveroo  : Se n'est pas la faute du livreur ma boisson avec se verre en carton pas commode tout été renversé. Question aliments tous été froid et dégueulasse immangeable... C'est mieux MC DO OU QUICK...dernière fois pour 48 euros c'est du vol manifeste.,par livraison de ce jour deliveroo se nest pas la faute du livreur ma boisson avec se verre en carton pas commode tout ete renverse question aliments tous ete froid et degueulasse immangeable cest mieux mc do ou quickderniere fois pour euros cest du vol manifeste
il y a 2 mois,"Les burgers sont très bons, le restaurant est idéalement placé, puis le personnel est adorable. Notamment ""Maguema"", toujours souriante, disponible, qui m'aide beaucoup à chaque fois (je suis en fauteuil roulant). Merci !",les burgers sont tres bons le restaurant est idealement place puis le personnel est adorable notamment maguema toujours souriante disponible qui maide beaucoup a chaque fois je suis en fauteuil roulant merci
il y a 3 mois,C'est un bon Burger King. Beaucoup de monde mais service hyper rapide.  Je suis pas fan de ces lieux mais j'étais avec mon neveu 😊😊. L'intérêt est quand même de pouvoir profiter de la terrasse ! Plein soleil en hiver face au vieux port. Pépère 😉 …,cest un bon burger king beaucoup de monde mais service hyper rapide je suis pas fan de ces lieux mais jetais avec mon neveu linteret est quand meme de pouvoir profiter de la terrasse plein soleil en hiver face au vieux port pepere
il y a une semaine,Merci très bon accueil je suis un client fidèle depuis quelque mois déjà,merci tres bon accueil je suis un client fidele depuis quelque mois deja
il y a une semaine,On a été super bien reçues!! Merci pour cet accueil hyper chaleureux!!,on a ete super bien recues merci pour cet accueil hyper chaleureux
il y a 2 mois,"Malgret que je soit quelqu'un de très maladroit
Maguema a décidé très gentiment de nettoyer mon gobelet plein que j'ai renverser. …",malgret que je soit quelquun de tres maladroit maguema a decide tres gentiment de nettoyer mon gobelet plein que jai renverser
il y a une semaine,"Le service et rapide et les serveurs sont sympas le menus fantastique mais la musiques n'est pas de mon gout.
Bisous mes choubidous",le service et rapide et les serveurs sont sympas le menus fantastique mais la musiques nest pas de mon gout bisous mes choubidous
il y a une semaine,Accueil exceptionnel vraiment ! Vue magnifique et lieu très propre !,accueil exceptionnel vraiment vue magnifique et lieu tres propre
il y a un mois,"Très bonne expérience, des prix très corrects, un bon repas, un service clientèle impeccable grâce à Tata Mag’ qui est très gentille et bienveillante, très proche des clients. Merci et bonne année à elle.",tres bonne experience des prix tres corrects un bon repas un service clientele impeccable grace a tata mag qui est tres gentille et bienveillante tres proche des clients merci et bonne annee a elle
il y a un an,"Un accueil très chalereux par Maguema, souriante et agréable !
Je recommande ce Burger King, propre et calme.
La vue depuis le deuxième étage est magnifique sur le port.
Foncez !",un accueil tres chalereux par maguema souriante et agreable je recommande ce burger king propre et calme la vue depuis le deuxieme etage est magnifique sur le port foncez
il y a 6 jours,"Commande reçue parfaitement il ne manquait rien, l’ambiance est parfaite et gros big up à tata Mag",commande recue parfaitement il ne manquait rien lambiance est parfaite et gros big up a tata mag
il y a un mois,"Une catastrophe nucléaire c'est déroulé dans les WC. Les tables sont dégoûtante sûrement nettoyer une seule fois par jour.
Après niveau nourriture rien a dire, ce n'est qu'un Burger King",une catastrophe nucleaire cest deroule dans les wc les tables sont degoutante surement nettoyer une seule fois par jour apres niveau nourriture rien a dire ce nest quun burger king
il y a 6 jours,"TRÈS DÉÇU ! la tête en l'air. Ce trompe de boisson, je lui fais remarquer ET ! CE TROMPE CARRÉMENT DE MENUS !! (J'ai pris a Emporté je n'est donc pas pu changer car j'étais pressée.)",tres decu la tete en lair ce trompe de boisson je lui fais remarquer et ce trompe carrement de menus jai pris a emporte je nest donc pas pu changer car jetais pressee
il y a 7 mois,"Maguema est très gentille, acceuillante mais aussi très professionnelle.",maguema est tres gentille acceuillante mais aussi tres professionnelle
il y a 3 semaines,"Bon emplacement,
Vue imprenable sur le vieux port.
Merci à toute l'équipe pour leur service efficace.",bon emplacement vue imprenable sur le vieux port merci a toute lequipe pour leur service efficace
il y a une semaine,"Très serviable et souriante tata mag, je recommande 🫶🏽 …",tres serviable et souriante tata mag je recommande
il y a une semaine,La vue est super sympa sur le vieux port et le staff est hyper sympa et compétent...bonne expérience !,la vue est super sympa sur le vieux port et le staff est hyper sympa et competentbonne experience
il y a une semaine,Merci pour l’accueille ! Agréable et souriante tata MAG 🙌🙌🙌 …,merci pour laccueille agreable et souriante tata mag
il y a 8 mois,"Le petit train touristique de Marseille et burger king.

En géneral je viens ici et tout se passe bien. …",le petit train touristique de marseille et burger king en general je viens ici et tout se passe bien
il y a un mois,Un accueil super ! Beaucoup de générosité de la part du personnel. Je recommande fortement !,un accueil super beaucoup de generosite de la part du personnel je recommande fortement
il y a 2 semaines,"Super sympa ce burger king sur le port ! Merci pour l'accueil, tante mag est géniale.",super sympa ce burger king sur le port merci pour laccueil tante mag est geniale
