date,review,cleaned_review
05/2024,"Un BK nest pas forcment un BK.Celuici fait figure dexception grce  son quipe sympathique et  son manager arrangeant,  lcoute et au service de ses clients. Merci pour le petit rab de",un bk nest pas forcment un bkceluici fait figure dexception grce son quipe sympathique et son manager arrangeant lcoute et au service de ses clients merci pour le petit rab de
04/2024,"Petit endroit sympa avant o aprs une petite balade o courses, promos. Parfois,  certaines heures, peu de monde  lintrieur ou en terrasse, cest cool et reposant...",petit endroit sympa avant o aprs une petite balade o courses promos parfois certaines heures peu de monde lintrieur ou en terrasse cest cool et reposant
11/2023,"Le Burger king de confluence est trs bien, service relativement rapide, cela dpend de lheure  laquelle vous commandez.Un classique que je recommande.",le burger king de confluence est trs bien service relativement rapide cela dpend de lheure laquelle vous commandezun classique que je recommande
06/2024,"Personnel  lcoute des clients, trs bon, lambiance est bien. Je recommande",personnel lcoute des clients trs bon lambiance est bien je recommande
06/2024,Moment trs agrable en terrasse ! Service rapide et personnel agrable ! Je recommande !,moment trs agrable en terrasse service rapide et personnel agrable je recommande
06/2024,"Endroit sympathique, les serveurs sont supers ! Service rapide, je recommande",endroit sympathique les serveurs sont supers service rapide je recommande
12/2023,Malgr les normes affiches pour la formule tudiante offrant le mme burger que dans le menu pour seulement 2 de plus cest une publicit mensongre le manager a inform que le formule tudiante prvois uniquement une glace offerte,malgr les normes affiches pour la formule tudiante offrant le mme burger que dans le menu pour seulement de plus cest une publicit mensongre le manager a inform que le formule tudiante prvois uniquement une glace offerte
02/2024,"Mauvaise exprience pour notre part. Nous avons pris un menu enfant avec un jouet,  et quelle dception quand nous sommes rentrez chez nous pour lutiliser. Une bote VIDE sans jouet !",mauvaise exprience pour notre part nous avons pris un menu enfant avec un jouet et quelle dception quand nous sommes rentrez chez nous pour lutiliser une bote vide sans jouet
04/2024,"Jai eu loccasion de discuter avec Malik, le manager du restaurant.Merci  lui pour son accueil et sa sympathie.Le restaurant est propre et toute lquipe est aux petits soins !",jai eu loccasion de discuter avec malik le manager du restaurantmerci lui pour son accueil et sa sympathiele restaurant est propre et toute lquipe est aux petits soins
06/2024,"En plus la qualit de BK toujours au top, service rapide et aimablePlus on ma offert une glace, je recommande",en plus la qualit de bk toujours au top service rapide et aimableplus on ma offert une glace je recommande
