date,review
il y a 2 mois,"C’est dommage, toutes les boites Memory de Playmobil ont été ouverte pour trouver la pièce d’or. Du coup les boîtes sont abîmées et les cartes ne sont même pas remise correctement J’ai moi-même vu le personnel ouvrir toutes les boites"
il y a un mois,"Très bonne expérience, j'ai été très satisfait de manger chez le roi du burger, qui reste à mon humble avis, le meilleur fast food que peut trouver sur les bords de la Seine accessible proche de la gare. Très agréable pour attendre son train ou son bus."
il y a un mois,"Service rapide malgré le monde. J’ai été bien reçue par une employée qui s’appelle TIZIRI, qui était très serviable et souriante. Merci à elle."
il y a une semaine,"Super accueil, personnel très agréable ! Propreté impeccable"
il y a 3 semaines,"Très efficace et bon, personnel serviable et gentil. Repas distribué très rapidement ! Je recommande"
il y a 3 mois,Très rapide. Je viens toutes les journées ! La fille d'accueil est au top ! Elle m'a très bien conseillée ! 😊 …
il y a un mois,"Bonjour, j’y suis allée avec une amie aujourd’hui le 24/01/2024. En temps normal j’adore manger chez Burger King mais cette fois-ci, ça a été ma pire expérience dans un fast food. Pain a burger rassis, burger sec, le poisson avait un gout bizarre. De plus, le serveur est très désagréable. Merci et bonne continuation."
il y a 6 jours,C’était trop bien ! Très bon service client.
il y a 4 mois,Il y’a qu’une pauvre serviette mouillée à cause de la boisson et aucune sauce… même pas un seul ketchup? Je suis déçue de ce service qui reste beaucoup à désirer. …
il y a 2 mois,"Commande sur les bornes automatiques EFFICACE, prise en main facilitée (proposition de menus, boissons avec ou sans glaçons), rapport qualité/prix top, personnel accueillant et souriant, service rapide. Merci à Solène pour notre échange !"
il y a une semaine,"Très beau lieu, très propre, très bon, la personnel est très gentil. Parfait"
il y a un mois,"Je pourrais résumer mon expérience dans ce restaurant en un seul mot : l'aubaine du gérant !
Je n'ai pas été déçu quand j'ai pu enfin goûter, avec mon fidèle collègue …"
il y a une semaine,"Burger King propre, bien tenu, et personnel accueillant. J'y retourne régulièrement car les quantités sont bonnes"
il y a 2 mois,"Un BK où le service est très efficace et la qualité dans la norme de cette chaîne de restauration.
Cependant la salle de restauration est trop petite et à l heure du coup de feu la propreté laisse vraiment à désirer."
il y a 4 mois,"Le vrai problème ne vient pas des employés ou du menu, mais de l’emplacement.

Proche de Bercy, d’une fac, d’un quartier d’habitation et d’une ligne de métro : …"
il y a 6 mois,"J'ai beaucoup apprécié mon expérience : j'y suis allée après les cours avec des amis. La serveuse, Sarah, a été d'un professionnalisme inimaginable et d'un talent sans vergogne. La qualité du service ainsi que l'hygiène était réellement …"
il y a 2 mois,"Agacé par une altercation que je venais d’avoir au milieu de la rue, je suis entré en trombe dans la boutique jurant haut et fort que je retrouverais l’insolent qui venait de me battre comme plâtre. Heureusement, je suis tombé sur darel, un …"
il y a 4 jours,Excellent rien à ajouté très très bon je recommande j’adore ce restaurant. Le plat était trop bon
il y a un mois,Je suis venu déjeuner avec mes deux enfants en bas âge et ai été surpris par l'amabilité et le service de Solène qui a spontanément surveillé mes enfants quand je m'éloignais un peu pour récupérer ma commande. Bravo et encore merci!
il y a 3 mois,"Repas succulent à m’en lécher les doigts !
Le personnel est a marier pour leur qualité et leur rapidité !
Et l’ambiance , rien de plus fun que ce Burger King !!"
il y a 5 mois,"Un lieux magique ou l'impossible ce créer, c'est a dire avoir une commande en moins de 5 min. Pas comme ces pd macdo"
il y a un mois,Bonjour je suis passer manger avec mes amis aujourd’hui et Darel qui nous a super bien accueillis avec professionnalisme et gentillesse …
il y a 2 semaines,Très bon service et bon personnel au burgeur king et super accueil venant de sarah parfait rien à dire
il y a un mois,"Super top !
Je suis venue 3 fois à Paris et 3 fois j’ai mangé dans ce burger king. Je me suis régalée :) …"
il y a un mois,"Je suis venue en pleine heure de pointe avec beaucoup de monde, et le service a été très rapide et agréable ! De plus BK est le seul à offrir plein d’alternatives végétales et leur nouveau burger Louisiane vaut le détour :)))"
il y a une semaine,"Super bon, petite vue sur la Seine, jolie poster monsieur madame dans le king junior"
il y a une semaine,Un staff très sympa et rapide j'y retourne souvent
il y a 2 semaines,"Au top, service rapide et ponctuel je recommande fortement"
il y a 6 mois,"Une très bonne expérience, un des meilleurs BK de Paris et très bien desservi donc pratique. Nos burgers avaient vraiment belle allure
Aurore était adorable avec nous vous devriez la garder …"
il y a une semaine,"Service très rapide, très bon et efficace. Ambiance top !"
il y a 9 mois,"Très bon service! Merci à Sarah pour son professionnalisme et sa gentillesse! Les frites sont chaudes, c’est trop bien!!"
il y a une semaine,"Très bon fast-food, les steaks sont bien fumés et les frites sont croustillants et fondantes à l'intérieur"
il y a un mois,"Nous avons été servi très rapidement!! Aucune erreur a été commise et nous avons beaucoup apprécié notre passage, je recommande!!"
il y a 2 mois,"Abusé, burger tout sec, sûrement préparé longtemps en avance..."
il y a une semaine,"En plus d'être lents à servir, ils sont pas capables de respecter une commande. Évidemment quand on les appelle, personne ne décroche"
il y a 2 mois,"Nous étions 10 à commander, service très rapide! Même pas 6min d'attente ce qui es notifiable"
il y a une semaine,Anthologique ! Grand service suivi d’une expérience familiale qui nous rassure et nous fait voyager !
il y a 2 mois,Le personnel est très accueillant et chaleureux en cette belle journée de Noël! Les produits sont de qualités et très goûtus ! Je recommanderai cet établissement les yeux fermés !
il y a un mois,Restaurant a boycotté à emporter ou en livraison. Burger froid et mal fait je suis allé le 11 février à 14h. Incompétent !
il y a 2 jours,"Très bon, burger bien rempli. Je m'en vais satisfait !"
il y a 4 mois,"C’est un bon Burger King,
Je m’explique, il y’a beaucoup de place assise, même en période de rush le service est plus que rapide, les plats sont chaud (contrairement à certains autres …"
il y a une semaine,"Super le service est super rapide, merci et bonne continuation"
il y a 2 semaines,"La nourriture est bonne, j'ai reçu la bonne commande et assez rapidement"
il y a 4 jours,"Super service, et délicieux, merci accueil chaleureux"
il y a 5 mois,"Endroit sympathique.
Service vraiment rapide.
Offres proposés vraiment peu cher (j’en ai eu pour 5.80€ pour un menu complet). …"
il y a un mois,"C’était super! Très bon service, merci beaucoup pour cette soirée enjoliveuse!"
il y a 3 mois,"C'est la première fois de ma vie que je j'étais mon burger tellement le goût était horrible viande mal cuite, feuille de salade couleur verte marron bien passé, les cheese ball j'en parle pas on dirait du fromage moisi, les onion rings qui …"
il y a 2 semaines,J'aime bien ça reste de la restauration rapide faut le prendre telle qu'elle juste un peu petit niveau table serré
il y a 2 mois,"Service très lent malgré le peu d'affluence. Une erreur sur la commande de ma fille qui a décidé d'aller changer son sandwich. Comme c'est une gamine de douze ans, on l'a embobiné en lui disant que c'était «la même chose». Un Auvergnat sans …"
